Plate 	Moss	Well	Microbe	Chamber	Week.0	Week.4	Person
Plate 16	S. mag	B1	Control 	30C	0.03793902	0.12402169	Alyssa
Plate 16	S. mag	B2	Control 	30C	0.11818452	0.17209151	Alyssa
Plate 16	S. mag	B3	Control 	30C	0.03848276	0.1239634	Alyssa
Plate 16	S. mag	B4	Control 	30C	0.03285242	0.08659951	Alyssa
Plate 17	S. mag	A1	SMH	30C	0.1989036	0.28041148	Alyssa
Plate 17	S. mag	A2	SMH	30C	0.12872606	0.16739416	Alyssa
Plate 17	S. mag	A3	SMH	30C	0.15121234	0.19806444	Alyssa
Plate 17	S. mag	A4	SMH	30C	0.08841914	0.23255856	Alyssa
Plate 17	S. mag	B1	SMH	30C	0.1644375	0.26520768	Alyssa
Plate 17	S. mag	B2	SMH	30C	0.09510188	0.17567352	Alyssa
Plate 17	S. mag	B3	SMH	30C	0.16422702	0.25524568	Alyssa
Plate 17	S. mag	B4	SMH	30C	0.18660806	0.24506028	Alyssa
Plate 18	S. mag	A1	SMC	30C	0.23358018	0.43235913	Alyssa
Plate 18	S. mag	A2	SMC	30C	0.07487826	0.27269586	Alyssa
Plate 18	S. mag	A3	SMC	30C	0.09469846	0.25296921	Alyssa
Plate 18	S. mag	A4	SMC	30C	0.10939698	0.22838334	Alyssa
Plate 18	S. mag	B1	SMC	30C	0.2351237	0.3000234	Alyssa
Plate 18	S. mag	B2	SMC	30C	0.12642832	0.17457528	Alyssa
Plate 18	S. mag	B3	SMC	30C	0.08687562	0.17192277	Alyssa
Plate 18	S. mag	B4	SMC	30C	0.04930494	0.22822731	Alyssa
Plate 19	S. mag	A1	STH	30C	0.23166336	0.47014771	Alyssa
Plate 19	S. mag	A2	STH	30C	0.12563865	0.25496046	Alyssa
Plate 19	S. mag	A3	STH	30C	0.15750078	0.30205878	Alyssa
Plate 19	S. mag	A4	STH	30C	0.07973249	0.21277793	Alyssa
Plate 19	S. mag	B1	STH	30C	0.15368462	0.36304955	Alyssa
Plate 19	S. mag	B2	STH	30C	0.16841612	0.29873625	Alyssa
Plate 19	S. mag	B3	STH	30C	0.14205375	0.25066643	Alyssa
Plate 19	S. mag	B4	STH	30C	0.10808712	0.13443617	Alyssa
Plate 20	S. mag	A1	STC	30C	0.0906145	0.16911072	Alyssa
Plate 20	S. mag	A2	STC	30C	0.14799417	0.14827341	Alyssa
Plate 20	S. mag	A3	STC	30C	0.15986681	0.1504163	Alyssa
